Count,Tradelist Count,Name,Edition,Card Number,Condition,Language,Foil,Signed,Artist Proof,Altered Art,Misprint,Promo,Textless,My Price
1,1,Murderous Rider // Swift End,Throne of Eldraine,97,,,,,,,,,,$0.00
2,2,Risen Reef,Core Set 2020,217,,,,,,,,,,$0.00
1,1,Lotus Cobra,Zendikar Rising,193,,,,,,,,,,$0.00
1,0,Corpse Knight,Core Set 2020,206,,,,,,,,,,$0.00
1,1,"Oko, the Trickster",Throne of Eldraine,309,,,,,,,,,,$0.00
1,0,Extraction Specialist,Streets of New Capenna,12,,,foil,,,,,,,$0.00
1,0,Deadly Dispute,Adventures in the Forgotten Realms,94,,,,,,,,,,$0.00
1,1,Blinkmoth Urn,Commander 2018,197,,,,,,,,,,$0.00
1,0,Blade of Selves,Commander Legends: Battle for Baldur's Gate,301,,,,,,,,,,$0.00
1,0,Forest,Kamigawa: Neon Dynasty,301,,,foil,,,,,,,$0.00
1,0,Jack-in-the-Mox,Unsanctioned,78,Near Mint,English,,,,,,,,$0.00
1,0,Angel of Vitality,Core Set 2020,4,,,,,,,,,,$0.00
1,1,R&D's Secret Lair,Unhinged,135,,,,,,,,,,$0.00
1,0,Wild Magic Surge,Commander Legends: Battle for Baldur's Gate,206,,,,,,,,,,$0.00
1,0,Charming Prince,Throne of Eldraine,8,Near Mint,English,,,,,,,,$0.00
1,1,Castle Ardenvale,Throne of Eldraine,238,,,,,,,,,,$0.00
1,1,Curse of Fool's Wisdom,Commander 2019,16,,,,,,,,,,$0.00
1,0,Necromentia,Core Set 2021,116,,,,,,,,,,$0.00
2,0,Consider,Innistrad: Midnight Hunt,44,,,,,,,,,,$0.00
1,0,Sword of Dungeons & Dragons,Unsanctioned,84,Near Mint,English,,,,,,,,$0.00
1,1,Drown in the Loch,Throne of Eldraine,188,,,,,,,,,,$0.00
1,0,"Zellix, Sanity Flayer",Commander Legends: Battle for Baldur's Gate,652,,,foil,,,,,,,$0.00
1,0,Slip Out the Back,Streets of New Capenna,62,,,,,,,,,,$0.00
1,1,Tale's End,Core Set 2020,77,,,,,,,,,,$0.00
1,0,Swift Reconfiguration,Kamigawa: Neon Dynasty Commander,10,,,,,,,,,,$0.00
1,0,Mirage Mirror,Kamigawa: Neon Dynasty Commander,154,,,,,,,,,,$0.00
2,2,Mist-Cloaked Herald,Core Set 2019,310,,,,,,,,,,$0.00
1,0,Miscast,Core Set 2021,57,,,,,,,,,,$0.00
1,0,Mountain,Kamigawa: Neon Dynasty,300,,,,,,,,,,$0.00
1,0,"Saryth, the Viper's Fang",Innistrad: Midnight Hunt,304,,,,,,,,,,$0.00
1,0,Ajani's Welcome,Core Set 2019,6,,,,,,,,,,$0.00
1,1,Disentomb,Core Set 2020,322,,,,,,,,,,$0.00
1,0,Majestic Genesis,Commander Legends: Battle for Baldur's Gate,240,,,,,,,,,,$0.00
2,0,Garruk's Uprising,Core Set 2021,186,,,,,,,,,,$0.00
1,0,"Sai, Master Thopterist",Kamigawa: Neon Dynasty Commander,97,,,,,,,,,,$0.00
1,0,"Tovolar, Dire Overlord // Tovolar, the Midnight Scourge",Innistrad: Midnight Hunt,311,Near Mint,English,,,,,,,,$0.00
1,0,Haunted One,Commander Legends: Battle for Baldur's Gate,654,,,foil,,,,,,,$0.00
1,1,Snow-Covered Island,Modern Horizons,251,,,,,,,,,,$0.00
1,1,Guttersnipe,Release Events,18,,,foil,,,,,,,$0.00
1,1,Chaos Warp,Commander 2019,136,,,,,,,,,,$0.00
1,1,"Tezzeret, Cruel Machinist",Core Set 2019,286,,,foil,,,,,,,$0.00
1,1,Ugin's Nexus,Khans of Tarkir,227,,,,,,,,,,$0.00
1,0,Elminster's Simulacrum,Commander Legends: Battle for Baldur's Gate,68,,,,,,,,,,$0.00
2,2,"Narset, Parter of Veils",War of the Spark,61,,,,,,,,,,$0.00
1,0,Jugan Defends the Temple // Remnant of the Rising Star,Kamigawa: Neon Dynasty,194,,,,,,,,,,$0.00
1,0,Lightning Skelemental,Modern Horizons,208,Near Mint,English,,,,,,,,$0.00
2,0,"Teferi, Timeless Voyager",Core Set 2021,324,,,foil,,,,,,,$0.00
1,1,"Mu Yanling, Celestial Wind",Core Set 2020,286,,,foil,,,,,,,$0.00
1,0,Sol Ring,Kamigawa: Neon Dynasty Commander,161,,,,,,,,,,$0.00
1,0,Basri Ket,Core Set 2021,286,,,,,,,,,,$0.00
1,0,Spellskite,Commander Legends: Battle for Baldur's Gate,873,,,,,,,,,,$0.00
1,0,Arcane Signet,Kamigawa: Neon Dynasty Commander,144,,,,,,,,,,$0.00
1,0,Captain N'ghathrod,Commander Legends: Battle for Baldur's Gate,646,,,foil,,,,,,,$0.00
1,0,"Basri, Devoted Paladin",Core Set 2021,320,,,foil,,,,,,,$0.00
1,0,Defiler of Dreams,Dominaria United,46,,,,,,,,,,$0.00
1,0,Fellwar Stone,Kamigawa: Neon Dynasty Commander,150,,,,,,,,,,$0.00
1,1,Skewer the Critics,Ravnica Allegiance,115,,,,,,,,,,$0.00
1,0,Spire of Industry,Kamigawa: Neon Dynasty Commander,178,,,,,,,,,,$0.00
2,1,Sol Ring,Commander 2019,221,,,,,,,,,,$0.00
1,0,Circuitous Route,Guilds of Ravnica,125,,,,,,,,,,$0.00
1,0,Reality Shift,Kamigawa: Neon Dynasty Commander,95,,,,,,,,,,$0.00
3,2,Return of the Wildspeaker,Throne of Eldraine,172,,,,,,,,,,$0.00
1,1,Temple of Malice,Theros Beyond Death,247,,,,,,,,,,$0.00
1,0,Drown in the Loch,Commander Legends: Battle for Baldur's Gate,842,,,,,,,,,,$0.00
1,1,Sphinx Mindbreaker,Theros Beyond Death,290,,,,,,,,,,$0.00
1,1,Clock of Omens,Magic 2013,202,,,,,,,,,,$0.00
1,1,Jace's Sanctum,Commander 2019,88,,,,,,,,,,$0.00
2,2,Deafening Silence,Throne of Eldraine,10,,,,,,,,,,$0.00
1,1,Heraldic Banner,Throne of Eldraine,222,,,,,,,,,,$0.00
1,0,"Shorikai, Genesis Engine",Kamigawa: Neon Dynasty Commander,4,,,foil,,,,,,,$0.00
1,0,Solemn Simulacrum,Core Set 2021,239,,,,,,,,,,$0.00
1,0,Speaker of the Heavens,Core Set 2021,38,,,,,,,,,,$0.00
1,1,Reality Shift,Commander 2017,91,,,,,,,,,,$0.00
1,0,Thoughtcast,Kamigawa: Neon Dynasty Commander,99,,,,,,,,,,$0.00
1,0,Water Gun Balloon Game,"",,Near Mint,English,,,,,,,,$0.00
1,0,All That Glitters,Throne of Eldraine,2,,,,,,,,,,$0.00
1,0,Cheatyface,Unhinged,30,,,,,,,,,,$0.00
1,0,Solemn Simulacrum,Kamigawa: Neon Dynasty Commander,162,,,,,,,,,,$0.00
1,1,Castle Vantress,Throne of Eldraine,242,,,,,,,,,,$0.00
1,0,Sanctum of Stone Fangs,Core Set 2021,120,,,,,,,,,,$0.00
1,0,"Greasefang, Okiba Boss",Kamigawa: Neon Dynasty,220,,,,,,,,,,$0.00
1,1,Finale of Eternity,War of the Spark,91,,,,,,,,,,$0.00
1,0,Infernal Spawn of Infernal Spawn of Evil,"",,Near Mint,English,,,,,,,,$0.00
1,1,"Rowan, Fearless Sparkmage",Throne of Eldraine,304,,,,,,,,,,$0.00
1,0,Sol Ring,Commander Legends: Battle for Baldur's Gate,871,,,,,,,,,,$0.00
1,1,Talisman of Creativity,Modern Horizons,231,,,,,,,,,,$0.00
1,1,Thoughtcast,Modern Masters 2015 Edition,64,,,,,,,,,,$0.00
1,1,Solemn Simulacrum,Commander 2019,222,,,,,,,,,,$0.00
1,1,Tribute Mage,Modern Horizons,73,,,,,,,,,,$0.00
4,4,Mystic Sanctuary,Throne of Eldraine,247,,,,,,,,,,$0.00
1,0,Aerial Surveyor,Kamigawa: Neon Dynasty Commander,5,,,,,,,,,,$0.00
1,0,King Darien XLVIII,Dominaria United,303,,,,,,,,,,$0.00
1,1,Ghostly Flicker,Modern Masters 2017 Edition,39,,,,,,,,,,$0.00
1,0,Ertai Resurrected,Dominaria United,199,,,,,,,,,,$0.00
1,1,Flux Channeler,War of the Spark,52,,,,,,,,,,$0.00
1,1,Snow-Covered Forest,Modern Horizons,254,,,,,,,,,,$0.00
2,2,Witch's Oven,Throne of Eldraine,237,,,,,,,,,,$0.00
1,0,"Skysovereign, Consul Flagship",Kamigawa: Neon Dynasty Commander,159,,,,,,,,,,$0.00
1,1,Siege-Gang Commander,Dominaria,143,,,,,,,,,,$0.00
1,1,In Garruk's Wake,Commander 2019,121,,,,,,,,,,$0.00
1,0,Endless Evil,Commander Legends: Battle for Baldur's Gate,665,,,,,,,,,,$0.00
2,2,Labyrinth of Skophos,Theros Beyond Death,243,,,,,,,,,,$0.00
1,0,Arcane Signet,Commander Legends: Battle for Baldur's Gate,298,,,,,,,,,,$0.00
1,0,Claws of Gix,"Time Spiral ""Timeshifted""",107,Near Mint,English,,,,,,,,$0.00
1,0,Curtains' Call,Commander Legends: Battle for Baldur's Gate,746,,,,,,,,,,$0.00
1,1,Electrostatic Field,Guilds of Ravnica,97,,,,,,,,,,$0.00
1,1,Flood of Tears,Core Set 2020,59,,,,,,,,,,$0.00
1,0,"Kairi, the Swirling Sky",Kamigawa: Neon Dynasty,60,,,,,,,,,,$0.00
1,0,Smuggler's Copter,Kamigawa: Neon Dynasty Commander,160,,,,,,,,,,$0.00
1,0,Aggressive Mammoth,Core Set 2019,302,,,,,,,,,,$0.00
1,0,Citadel Gate,Commander Legends: Battle for Baldur's Gate,349,,,,,,,,,,$0.00
1,0,Micromancer,Dominaria United,431,,,,,,,,,,$0.00
1,1,Terror of Mount Velus,Theros Beyond Death,295,,,,,,,,,,$0.00
1,1,Elixir of Immortality,Duel Decks: Elspeth vs. Tezzeret,62,,,,,,,,,,$0.00
1,1,Empowered Autogenerator,Commander 2019,54,,,,,,,,,,$0.00
1,0,Imposter Mech,Kamigawa: Neon Dynasty Commander,13,,,,,,,,,,$0.00
1,0,Snow-Covered Swamp,Modern Horizons,252,Near Mint,English,,,,,,,,$0.00
1,1,Hushbringer,Throne of Eldraine,18,,,,,,,,,,$0.00
1,0,Indulging Patrician,Core Set 2021,219,,,,,,,,,,$0.00
1,0,Memory Plunder,Commander Legends: Battle for Baldur's Gate,849,,,,,,,,,,$0.00
1,0,Reflections of Littjara,Commander Legends: Battle for Baldur's Gate,733,,,,,,,,,,$0.00
1,1,Snow-Covered Plains,Modern Horizons,250,,,,,,,,,,$0.00
1,0,Wand of Wonder,Commander Legends: Battle for Baldur's Gate,204,,,,,,,,,,$0.00
1,1,The Circle of Loyalty,Throne of Eldraine,9,,,,,,,,,,$0.00
1,0,Threats Undetected,Dominaria United,185,,,,,,,,,,$0.00
1,0,Hunted Horror,Commander Legends: Battle for Baldur's Gate,758,,,,,,,,,,$0.00
1,0,"Look at Me, I'm R&D","",,Near Mint,English,,,,,,,,$0.00
1,0,Outland Liberator // Frenzied Trapbreaker,Innistrad: Midnight Hunt,190,Near Mint,English,,,,,,,,$0.00
1,1,Woe Strider,Theros Beyond Death,123,,,,,,,,,,$0.00
1,0,Dimir Signet,Commander Legends: Battle for Baldur's Gate,857,,,,,,,,,,$0.00
1,1,"Yorvo, Lord of Garenbrig",Prerelease Events: Throne of Eldraine,185,,,foil,,,,,,,$0.00
1,0,Anje Falkenrath,Commander 2019,37,,,foil,,,,,,,$0.00
1,1,High Tide,Fallen Empires,36,,,,,,,,,,$0.00
1,1,Llanowar Elves,Core Set 2019,314,,,,,,,,,,$0.00
1,1,Folio of Fancies,Throne of Eldraine,46,,,,,,,,,,$0.00
1,0,Manor Gate,Commander Legends: Battle for Baldur's Gate,356,,,,,,,,,,$0.00
1,1,Outlaws' Merriment,Throne of Eldraine,198,,,,,,,,,,$0.00
1,0,Pointy Finger of Doom,"",,Near Mint,English,,,,,,,,$0.00
2,2,Skeleton Archer,Core Set 2020,324,,,,,,,,,,$0.00
1,0,Nemesis of Reason,Commander Legends: Battle for Baldur's Gate,850,,,,,,,,,,$0.00
2,0,Stormwing Entity,Core Set 2021,73,,,,,,,,,,$0.00
1,0,Animal Sanctuary,Core Set 2021,242,,,,,,,,,,$0.00
2,2,Revenge of Ravens,Throne of Eldraine,104,,,,,,,,,,$0.00
1,0,Avatar of Me,"",,Near Mint,English,,,,,,,,$0.00
1,0,Cheatyface,Unsanctioned,20,Near Mint,English,,,,,,,,$0.00
1,0,Chicken à la King,"",,Near Mint,English,,,,,,,,$0.00
1,0,Academy Loremaster,Dominaria United,40,,,,,,,,,,$0.00
1,0,Goblin Tutor,"",,Near Mint,English,,,,,,,,$0.00
1,1,Neurok Stealthsuit,Fifth Dawn,140,,,,,,,,,,$0.00
1,1,Manifold Key,Core Set 2020,230,,,,,,,,,,$0.00
1,1,Spine of Ish Sah,Commander 2014,272,,,,,,,,,,$0.00
1,1,Trading Post,Commander Anthology Volume II,225,,,,,,,,,,$0.00
1,0,Angelsong,"Duel Decks Anthology, Divine vs. Demonic",15,,,,,,,,,,$0.00
1,0,"Look at Me, I'm the DCI","",,Near Mint,English,,,,,,,,$0.00
1,0,Reflector Mage,Oath of the Gatewatch,157,,,,,,,,,,$0.00
1,0,"Richard Garfield, Ph.D.",Unsanctioned,26,Near Mint,English,,,,,,,,$0.00
1,0,Tainted Isle,Commander Legends: Battle for Baldur's Gate,920,,,,,,,,,,$0.00
1,0,Wayfarer's Bauble,Commander Legends: Battle for Baldur's Gate,344,,,,,,,,,,$0.00
2,0,Aggressive Mammoth,Core Set 2020,337,,,,,,,,,,$0.00
1,0,"Jinnie Fay, Jetmir's Second",Streets of New Capenna,195,,,,,,,,,,$0.00
1,0,Organic Extinction,Kamigawa: Neon Dynasty Commander,8,,,,,,,,,,$0.00
1,0,Paper Tiger,"",,Near Mint,English,,,,,,,,$0.00
1,1,Soulherder,Modern Horizons,214,,,,,,,,,,$0.00
1,0,B.O.B. (Bevy of Beebles),"",,Near Mint,English,,,,,,,,$0.00
1,0,Crush Contraband,Kamigawa: Neon Dynasty Commander,82,,,,,,,,,,$0.00
1,1,Grimoire of the Dead,Commander 2019,213,,,,,,,,,,$0.00
1,1,"Geth, Lord of the Vault",Commander 2019,114,,,,,,,,,,$0.00
1,1,"Jaya, Venerated Firemage",War of the Spark,135,,,foil,,,,,,,$0.00
1,0,Booster Tutor,"",,Near Mint,English,,,,,,,,$0.00
1,0,In Garruk's Wake,Commander Legends: Battle for Baldur's Gate,759,,,,,,,,,,$0.00
1,0,Invoke Despair,Kamigawa: Neon Dynasty,101,,,,,,,,,,$0.00
1,1,Ral Zarek,Commander 2019,198,,,,,,,,,,$0.00
1,0,Temple of Enlightenment,Kamigawa: Neon Dynasty Commander,180,,,,,,,,,,$0.00
1,0,Chasm Skulker,Commander Legends: Battle for Baldur's Gate,714,,,,,,,,,,$0.00
1,0,Cliffgate,Commander Legends: Battle for Baldur's Gate,350,,,,,,,,,,$0.00
1,1,Frilled Sandwalla,Core Set 2020,340,,,,,,,,,,$0.00
1,1,Gingerbread Cabin,Throne of Eldraine,245,,,foil,,,,,,,$0.00
1,0,Pull from Tomorrow,Commander Legends: Battle for Baldur's Gate,731,,,,,,,,,,$0.00
1,0,Staying Power,"",,Near Mint,English,,,,,,,,$0.00
1,1,Bonecrusher Giant // Stomp,Throne of Eldraine,115,,,,,,,,,,$0.00
1,1,Chakram Retriever,Battlebond,15,,,,,,,,,,$0.00
1,1,Darksteel Citadel,Duel Decks: Elspeth vs. Tezzeret,72,,,,,,,,,,$0.00
1,1,Perpetual Timepiece,Kaladesh,227,,,,,,,,,,$0.00
1,0,Scavenging Ooze,Modern Masters 2017 Edition,134,,,,,,,,,,$0.00
1,0,Temple of Deceit,Commander Legends: Battle for Baldur's Gate,922,,,,,,,,,,$0.00
1,0,Weatherlight,Kamigawa: Neon Dynasty Commander,165,,,,,,,,,,$0.00
1,0,Yavimaya Coast,Dominaria United,261,,,,,,,,,,$0.00
1,0,Anje's Ravager,Commander 2019,22,,,,,,,,,,$0.00
1,1,Giant Killer // Chop Down,Throne of Eldraine,275,,,,,,,,,,$0.00
1,0,Surgeon ~General~ Commander,Unsanctioned,72,Near Mint,English,,,,,,,,$0.00
1,0,Azorius Signet,Kamigawa: Neon Dynasty Commander,145,,,,,,,,,,$0.00
1,1,Orzhov Guildgate,Commander 2017,269,,,,,,,,,,$0.00
1,1,"Pramikon, Sky Rampart",Commander 2019,47,,,foil,,,,,,,$0.00
1,1,Prismatic Strands,Commander 2019,69,,,,,,,,,,$0.00
1,0,Rock Lobster,"",,Near Mint,English,,,,,,,,$0.00
1,1,Serra's Guardian,Core Set 2020,310,,,,,,,,,,$0.00
1,0,Uchuulon,Commander Legends: Battle for Baldur's Gate,673,,,,,,,,,,$0.00
1,0,Yet Another Aether Vortex,"",,Near Mint,English,,,,,,,,$0.00
1,1,Faithless Looting,Commander 2019,140,,,,,,,,,,$0.00
1,1,Forest,War of the Spark,264,,,foil,,,,,,,$0.00
1,1,Nevinyrral's Disk,Commander 2016,265,,,,,,,,,,$0.00
1,1,Plaguecrafter,Guilds of Ravnica,82,,,,,,,,,,$0.00
1,1,"Chandra, Fire Artisan",War of the Spark,119,,,,,,,,,,$0.00
1,1,Gray Merchant of Asphodel,Theros Beyond Death,99,,,,,,,,,,$0.00
1,0,Jukai Naturalist,Kamigawa: Neon Dynasty,225,,,,,,,,,,$0.00
2,2,Lazotep Plating,War of the Spark,59,,,,,,,,,,$0.00
1,0,Llanowar Loamspeaker,Dominaria United,170,,,,,,,,,,$0.00
1,0,Psychosis Crawler,Commander Legends: Battle for Baldur's Gate,869,,,,,,,,,,$0.00
1,0,Scissors Lizard,"",,Near Mint,English,,,,,,,,$0.00
1,0,Etherium Sculptor,Kamigawa: Neon Dynasty Commander,92,,,,,,,,,,$0.00
1,0,Guardian of New Benalia,Dominaria United,19,,,,,,,,,,$0.00
1,1,Ob Nixilis Reignited,Commander 2019,124,,,,,,,,,,$0.00
1,0,Pithing Needle,Innistrad: Midnight Hunt,257,,,,,,,,,,$0.00
1,1,Scale Up,Modern Horizons,179,,,,,,,,,,$0.00
1,0,Temple of Malady,Core Set 2021,253,,,,,,,,,,$0.00
1,1,Elsha of the Infinite,Commander 2019,40,,,foil,,,,,,,$0.00
1,1,Engulf the Shore,Shadows over Innistrad,58,,,,,,,,,,$0.00
1,0,"Gale, Waterdeep Prodigy",Commander Legends: Battle for Baldur's Gate,485,,,foil,,,,,,,$0.00
1,1,Harmonious Archon,Throne of Eldraine,17,,,,,,,,,,$0.00
1,0,Jungle Shrine,Commander 2016,304,,,,,,,,,,$0.00
1,1,Plaguecrafter,Commander 2019,126,,,,,,,,,,$0.00
1,1,Silver Myr,Planechase,126,,,,,,,,,,$0.00
1,1,Universal Automaton,Modern Horizons,235,,,,,,,,,,$0.00
1,0,B-I-N-G-O,"",,Near Mint,English,,,,,,,,$0.00
1,1,Conjurer's Bauble,Fifth Dawn,112,,,,,,,,,,$0.00
2,2,Despark,War of the Spark,190,,,,,,,,,,$0.00
1,0,Drag to the Bottom,Dominaria United,91,,,,,,,,,,$0.00
1,1,"Elspeth, Undaunted Hero",Theros Beyond Death,270,,,foil,,,,,,,$0.00
1,1,Fae of Wishes // Granted,Throne of Eldraine,282,,,,,,,,,,$0.00
1,0,"Hidetsugu, Devouring Chaos",Kamigawa: Neon Dynasty,378,,,,,,,,,,$0.00
1,1,Magus of the Wheel,Commander 2019,149,,,,,,,,,,$0.00
1,1,Sun Titan,Commander 2019,76,,,,,,,,,,$0.00
1,0,Sunken Hollow,Commander Legends: Battle for Baldur's Gate,918,,,,,,,,,,$0.00
1,0,Dispatch,Kamigawa: Neon Dynasty Commander,83,,,,,,,,,,$0.00
1,1,Scrapyard Recombiner,Modern Horizons,227,,,,,,,,,,$0.00
1,1,Codex Shredder,Mystery Booster Retail Edition Foils,100,,,foil,,,,,,,$0.00
1,1,Etherium Sculptor,Shards of Alara,42,,,,,,,,,,$0.00
1,0,Infinity Elemental,"",,Near Mint,English,,,,,,,,$0.00
1,0,Backdraft Hellkite,Commander 2019,23,,,,,,,,,,$0.00
